Model,svm_accuracy,1nn_accuracy,ari,nmi,silhouette
sentence_0_1_2_3,0.9180,0.9216,0.7835,0.6873,0.4322
sentence_4_5_6_7,0.9232,0.9228,0.7857,0.6920,0.4219
sentence_8_9_10_11,0.9270,0.9232,0.7906,0.6915,0.4708
sentence_2_5_8_11,0.9220,0.9286,0.7942,0.6957,0.4560
sentence_5_7_9_11,0.9272,0.9254,0.7913,0.6923,0.4387
sentence_11,0.9238,0.9152,0.7850,0.6868,0.4676
token_0_1_2_3,0.9070,0.9032,0.7409,0.6466,0.3917
token_4_5_6_7,0.8902,0.8586,0.6502,0.5418,0.3482
token_8_9_10_11,0.9358,0.9156,0.7744,0.6734,0.4910
token_2_5_8_11,0.9200,0.9080,0.7395,0.6344,0.4613
token_5_7_9_11,0.9202,0.9020,0.7286,0.6238,0.4320
token_11,0.9328,0.9250,0.7885,0.6889,0.5111
